CNN-INTEGRATED SPECK COMPREHENSIVE SECURITY REPORT
------------------------------------------------------------------------------------------------------------------------
Image           | Enc_T(s) | Dec_T(s) | Entp   | NPCR%  | UACI%  | PSNR   | Corr_H | Corr_V | Corr_D
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_2048_3072_size512.png | 0.0864   | 0.0808   | 7.6512 | 99.84  | 27.77  | 9.20   | -0.019 | 0.040  | 0.027 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_2048_512_size512.png | 0.0896   | 0.0809   | 7.6417 | 99.83  | 28.98  | 8.80   | -0.068 | -0.024 | 0.002 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_512_0_size512.png | 0.0886   | 0.0794   | 7.6479 | 99.84  | 28.14  | 9.09   | -0.004 | 0.017  | 0.034 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_512_1024_size512.png | 0.0902   | 0.0842   | 7.6494 | 99.83  | 28.32  | 9.03   | -0.026 | -0.011 | 0.017 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_512_1536_size512.png | 0.0902   | 0.0801   | 7.6440 | 99.82  | 28.29  | 9.05   | -0.027 | 0.029  | 0.007 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_512_2048_size512.png | 0.0925   | 0.0836   | 7.6414 | 99.81  | 28.83  | 8.87   | -0.054 | 0.025  | 0.009 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_512_2560_size512.png | 0.0912   | 0.0863   | 7.6475 | 99.81  | 29.25  | 8.72   | -0.036 | 0.016  | 0.007 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_512_3072_size512.png | 0.0893   | 0.0806   | 7.6497 | 99.82  | 28.14  | 9.10   | -0.052 | 0.008  | -0.013
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_512_512_size512.png | 0.0902   | 0.0793   | 7.6483 | 99.82  | 28.14  | 9.10   | -0.037 | 0.001  | -0.004
TCGA-A2-A04Q-DX1_xmin20868_ymin17804_MPP-0_0_0_size512.png | 0.0962   | 0.0879   | 7.6333 | 99.80  | 29.82  | 8.57   | -0.038 | 0.004  | 0.034 
TCGA-A2-A04Q-DX1_xmin20868_ymin17804_MPP-0_0_1024_size512.png | 0.0997   | 0.0968   | 7.6295 | 99.79  | 29.34  | 8.75   | -0.053 | 0.006  | 0.014 
TCGA-A2-A04Q-DX1_xmin20868_ymin17804_MPP-0_0_512_size512.png | 0.0894   | 0.0787   | 7.6406 | 99.83  | 29.19  | 8.74   | -0.029 | 0.036  | -0.055
TCGA-A2-A04Q-DX1_xmin20868_ymin17804_MPP-0_1024_0_size512.png | 0.0977   | 0.0966   | 7.6431 | 99.80  | 28.92  | 8.88   | -0.050 | -0.011 | 0.021 
TCGA-A2-A04Q-DX1_xmin20868_ymin17804_MPP-0_1024_1024_size512.png | 0.1014   | 0.0911   | 7.6396 | 99.79  | 29.06  | 8.84   | -0.041 | 0.014  | 0.021 
TCGA-A2-A04Q-DX1_xmin20868_ymin17804_MPP-0_1024_512_size512.png | 0.0997   | 0.0886   | 7.6417 | 99.79  | 28.64  | 8.97   | -0.016 | 0.038  | 0.001 
TCGA-A2-A04Q-DX1_xmin20868_ymin17804_MPP-0_512_0_size512.png | 0.0936   | 0.0826   | 7.6430 | 99.81  | 28.44  | 9.01   | -0.010 | 0.006  | -0.015
TCGA-A2-A04Q-DX1_xmin20868_ymin17804_MPP-0_512_1024_size512.png | 0.1002   | 0.0905   | 7.6388 | 99.79  | 29.35  | 8.74   | -0.028 | 0.034  | -0.006
TCGA-A2-A04Q-DX1_xmin20868_ymin17804_MPP-0_512_512_size512.png | 0.1000   | 0.0976   | 7.6414 | 99.79  | 28.92  | 8.88   | -0.012 | 0.051  | 0.001 
TCGA-A2-A04T-DX1_xmin72145_ymin39078_MPP-0_0_0_size512.png | 0.0931   | 0.0828   | 7.6415 | 99.80  | 28.78  | 8.89   | -0.033 | 0.013  | 0.042 
TCGA-A2-A04T-DX1_xmin72145_ymin39078_MPP-0_0_1024_size512.png | 0.0954   | 0.0914   | 7.6415 | 99.80  | 28.86  | 8.88   | -0.021 | 0.006  | 0.031 
TCGA-A2-A04T-DX1_xmin72145_ymin39078_MPP-0_0_1536_size512.png | 0.0884   | 0.0840   | 7.6495 | 99.82  | 28.54  | 8.95   | -0.045 | -0.011 | 0.019 
TCGA-A2-A04T-DX1_xmin72145_ymin39078_MPP-0_0_2048_size512.png | 0.0987   | 0.0934   | 7.6341 | 99.80  | 29.60  | 8.65   | -0.029 | 0.017  | 0.002 
TCGA-A2-A04T-DX1_xmin72145_ymin39078_MPP-0_0_2560_size512.png | 0.0931   | 0.0936   | 7.6213 | 99.81  | 30.08  | 8.49   | -0.059 | 0.027  | 0.019 
TCGA-A2-A04T-DX1_xmin72145_ymin39078_MPP-0_0_3072_size512.png | 0.0928   | 0.0921   | 7.6407 | 99.81  | 29.09  | 8.79   | -0.038 | 0.001  | 0.038 
TCGA-A2-A04T-DX1_xmin72145_ymin39078_MPP-0_0_3584_size512.png | 0.0976   | 0.0865   | 7.6389 | 99.80  | 29.20  | 8.78   | -0.038 | -0.002 | 0.024 
TCGA-A2-A04T-DX1_xmin72145_ymin39078_MPP-0_0_4096_size512.png | 0.0901   | 0.0793   | 7.6374 | 99.82  | 28.65  | 8.92   | -0.011 | 0.021  | 0.002 
